IXHC,20210930,1244.34,1250.73,1238.61,1238.8,0
IXI,20210930,1009.05,1010.41,985.14,985.31,0
IXM,20210930,471.88,472.8,462.95,462.98,0
IXR,20210930,708.57,709.32,693.8,694.1,0
IXTC,20210930,519.32,520.42,513.64,513.68,0
IXU,20210930,654.39,654.99,646.4,647.15,0
IXV,20210930,1306.86,1315.41,1286.48,1286.74,0
IXY,20210930,1845.35,1846.38,1813.95,1814.37,0
JKSE,20210930,6162.55,6286.94,6162.55,6286.94,0
JX,20210930,861.1,861.37,856.37,858.87,75462100
KDX,20210930,117.96,118.35,116.55,116.55,0
KIX,20210930,361.74,362.78,354.64,354.72,0
KLSE,20210930,1546.43,1549.36,1532.56,1537.8,0
KLX,20210930,55.12,56.37,55.12,55.2,0
KPX,20210930,871.65,875.5,856.36,856.61,0
KRX,20210930,124.66,124.89,122.47,122.48,0
KSI,20210930,399.41,402.9,397.98,401.3,0
KSIC,20210930,3054.87,3079.43,3046.43,3068.82,0
KSX,20210930,613.05,614.51,600.35,600.53,0
KYX,20210930,61.09,61.09,60.01,60.02,0
LOWA,20210930,2,2,2,2,0
LOWC,20210930,3,3,3,3,0
LOWD,20210930,0.01,0.01,0.01,0.01,0
LOWE,20210930,55,55,55,55,0
LOWN,20210930,27,27,27,27,0
LOWQ,20210930,76,76,76,76,0
LOWS,20210930,11,11,11,11,0
LOWU,20210930,117,117,117,117,0
LOWV,20210930,3,3,3,3,0
M1DA,20210930,-20,-20,-20,-20,19600
M1DB,20210930,-8,-8,-8,-8,2800
M1DC,20210930,-136,-136,-136,-136,194300
M1DE,20210930,-648,-648,-648,-648,216600
M1DF,20210930,1,1,1,1,5800
M1DG,20210930,-210,-210,-210,-210,100200
M1DH,20210930,-318,-318,-318,-318,429500
M1DI,20210930,-28,-28,-28,-28,7300
M1DJ,20210930,-7,-7,-7,-7,2800
M1DK,20210930,-26,-26,-26,-26,7400
M1DL,20210930,-196,-196,-196,-196,345300
M1DM,20210930,-10,-10,-10,-10,3200
M1DN,20210930,-186,-186,-186,-186,209400
M1DO,20210930,-31,-31,-31,-31,10000
M1DP,20210930,-137,-137,-137,-137,49600
M1DQ,20210930,-308,-308,-308,-308,329600
M1DR,20210930,-5,-5,-5,-5,2900
M1DS,20210930,-25,-25,-25,-25,6300
M1DT,20210930,2,2,2,2,2200
M1DU,20210930,31,31,31,31,343400
M1DV,20210930,-545,-545,-545,-545,431400
M1DW,20210930,-3,-3,-3,-3,2600
M1DX,20210930,-514,-514,-514,-514,558600
M1DY,20210930,-26,-26,-26,-26,6300
M1DZ,20210930,-312,-312,-312,-312,264200
M1HA,20210930,10,10,10,10,19600
M1HB,20210930,0.01,0.01,0.01,0.01,2800
M1HC,20210930,151,151,151,151,194300
